algorithm_name,n,prev_states,time
backtracking,4,10,1.5900004655122757e-05
forward_checking,4,5,2.4500011932104826e-05
backtracking,4,10,1.2500007869675756e-05
forward_checking,4,5,1.7299986211583018e-05
backtracking,4,10,1.1399999493733048e-05
forward_checking,4,5,1.6000005416572094e-05
backtracking,4,10,1.1500000255182385e-05
forward_checking,4,5,1.680001150816679e-05
backtracking,4,10,1.0299991117790341e-05
forward_checking,4,5,1.550000160932541e-05
backtracking,4,10,1.0100018698722124e-05
forward_checking,4,5,1.3999990187585354e-05
backtracking,4,10,1.0499992640689015e-05
forward_checking,4,5,1.470002462156117e-05
backtracking,4,10,1.0199990356341004e-05
forward_checking,4,5,1.4299992471933365e-05
backtracking,4,10,9.799987310543656e-06
forward_checking,4,5,5.500001134350896e-05
backtracking,4,10,1.0799994925037026e-05
forward_checking,4,5,1.4699995517730713e-05
backtracking,4,10,1.0099989594891667e-05
forward_checking,4,5,1.4299992471933365e-05
backtracking,4,10,9.69998654909432e-06
forward_checking,4,5,1.3699987903237343e-05
backtracking,4,10,9.600014891475439e-06
forward_checking,4,5,1.4100020052865148e-05
backtracking,4,10,9.399984264746308e-06
forward_checking,4,5,1.479999627918005e-05
backtracking,4,10,9.69998654909432e-06
forward_checking,4,5,1.6000005416572094e-05
backtracking,4,10,1.0199990356341004e-05
forward_checking,4,5,1.4599994756281376e-05
backtracking,4,10,9.800016414374113e-06
forward_checking,4,5,1.4200020814314485e-05
backtracking,4,10,9.499985026195645e-06
forward_checking,4,5,1.3599987141788006e-05
backtracking,4,10,1.0000017937272787e-05
forward_checking,4,5,1.4999997802078724e-05
backtracking,4,10,1.0200019460171461e-05
forward_checking,4,5,1.5199999324977398e-05
backtracking,4,10,9.69998654909432e-06
forward_checking,4,5,1.4599994756281376e-05
backtracking,4,10,9.799987310543656e-06
forward_checking,4,5,1.4599994756281376e-05
backtracking,4,10,9.300012607127428e-06
forward_checking,4,5,1.3899989426136017e-05
backtracking,4,10,9.300012607127428e-06
forward_checking,4,5,1.3800017768517137e-05
backtracking,4,10,9.299983503296971e-06
forward_checking,4,5,1.3600016245618463e-05
backtracking,4,10,9.300012607127428e-06
forward_checking,4,5,1.3499986380338669e-05
backtracking,4,10,9.100011084228754e-06
forward_checking,4,5,1.3699987903237343e-05
backtracking,4,10,9.399984264746308e-06
forward_checking,4,5,1.3100012438371778e-05
backtracking,4,10,9.299983503296971e-06
forward_checking,4,5,1.3200013199821115e-05
backtracking,4,10,9.299983503296971e-06
forward_checking,4,5,1.37000170070678e-05
backtracking,8,36,0.00040469999657943845
forward_checking,8,13,0.0002537999826017767
backtracking,8,36,0.0003595000016503036
forward_checking,8,13,0.0002060999977402389
backtracking,8,36,0.00035879999632015824
forward_checking,8,13,0.0002030999748967588
backtracking,8,36,0.0003559000033419579
forward_checking,8,13,0.00019789999350905418
backtracking,8,36,0.0003552999987732619
forward_checking,8,13,0.0001976999919861555
backtracking,8,36,0.00035689998185262084
forward_checking,8,13,0.0001956000050995499
backtracking,8,36,0.00035440002102404833
forward_checking,8,13,0.00019109999993816018
backtracking,8,36,0.0003561000048648566
forward_checking,8,13,0.00019260001135990024
backtracking,8,36,0.0003566000086721033
forward_checking,8,13,0.00019689998589456081
backtracking,8,36,0.00035539999953471124
forward_checking,8,13,0.00019699998665601015
backtracking,8,36,0.00035489999572746456
forward_checking,8,13,0.00019109999993816018
backtracking,8,36,0.0003539999888744205
forward_checking,8,13,0.00018959998851642013
backtracking,8,36,0.0003549999964889139
forward_checking,8,13,0.0001956000050995499
backtracking,8,36,0.00035489999572746456
forward_checking,8,13,0.00019329998758621514
backtracking,8,36,0.0003541999903973192
forward_checking,8,13,0.00019240000983700156
backtracking,8,36,0.0003563000063877553
forward_checking,8,13,0.00020019998191855848
backtracking,8,36,0.00035620000562630594
forward_checking,8,13,0.0002069000038318336
backtracking,8,36,0.00035519999801181257
forward_checking,8,13,0.00019299998530186713
backtracking,8,36,0.00035570000181905925
forward_checking,8,13,0.00019180000526830554
backtracking,8,36,0.0003589999978430569
forward_checking,8,13,0.00019799999427050352
backtracking,8,36,0.0003567999810911715
forward_checking,8,13,0.00019630001042969525
backtracking,8,36,0.00035659997956827283
forward_checking,8,13,0.00019650001195259392
backtracking,8,36,0.00037369999336078763
forward_checking,8,13,0.00019249998149462044
backtracking,8,36,0.00035539999953471124
forward_checking,8,13,0.00019459999748505652
backtracking,8,36,0.00035620000562630594
forward_checking,8,13,0.00019290001364424825
backtracking,8,36,0.0003549999964889139
forward_checking,8,13,0.00019199997768737376
backtracking,8,36,0.0003564000071492046
forward_checking,8,13,0.00019069999689236283
backtracking,8,36,0.00035609997576102614
forward_checking,8,13,0.00019069999689236283
backtracking,8,36,0.0004023000074084848
forward_checking,8,13,0.00023180001880973577
backtracking,8,36,0.00035749998642131686
forward_checking,8,13,0.00020599999697878957
backtracking,10,55,0.00043710001045838
forward_checking,10,15,0.00023109998437575996
backtracking,10,55,0.00043559999903663993
forward_checking,10,15,0.00021850000484846532
backtracking,10,55,0.0004358000005595386
forward_checking,10,15,0.00021990001550875604
backtracking,10,55,0.00043559999903663993
forward_checking,10,15,0.00021410000044852495
backtracking,10,55,0.000434300018241629
forward_checking,10,15,0.00021840000408701599
backtracking,10,55,0.00043620000360533595
forward_checking,10,15,0.00021389999892562628
backtracking,10,55,0.00043390001519583166
forward_checking,10,15,0.00023479998344555497
backtracking,10,55,0.0004354999982751906
forward_checking,10,15,0.0002114000089932233
backtracking,10,55,0.00043569999979808927
forward_checking,10,15,0.00021660001948475838
backtracking,10,55,0.0004358000005595386
forward_checking,10,15,0.00021749999723397195
backtracking,10,55,0.0004383999912533909
forward_checking,10,15,0.00022460002219304442
backtracking,10,55,0.00043990000267513096
forward_checking,10,15,0.00021040000137872994
backtracking,10,55,0.0004464999947231263
forward_checking,10,15,0.00021189998369663954
backtracking,10,55,0.0004391999973449856
forward_checking,10,15,0.0002077000099234283
backtracking,10,55,0.00043879999429918826
forward_checking,10,15,0.00020520001999102533
backtracking,10,55,0.0004403000057209283
forward_checking,10,15,0.0002035000070463866
backtracking,10,55,0.0004400000034365803
forward_checking,10,15,0.00020730000687763095
backtracking,10,55,0.00044010000419802964
forward_checking,10,15,0.00020650000078603625
backtracking,10,55,0.00045209997915662825
forward_checking,10,15,0.00020440001389943063
backtracking,10,55,0.0004413000133354217
forward_checking,10,15,0.00020429998403415084
backtracking,10,55,0.00043899999582208693
forward_checking,10,15,0.00020199999562464654
backtracking,10,55,0.0004398000019136816
forward_checking,10,15,0.00020330000552348793
backtracking,10,55,0.0004926999972667545
forward_checking,10,15,0.00021399999968707561
backtracking,10,55,0.00043960000039078295
forward_checking,10,15,0.00021100000594742596
backtracking,10,55,0.0004822999762836844
forward_checking,10,15,0.00025340000865980983
backtracking,10,55,0.0006735000060871243
forward_checking,10,15,0.0002447999722789973
backtracking,10,55,0.0004413000133354217
forward_checking,10,15,0.00021590001415461302
backtracking,10,55,0.000440800009528175
forward_checking,10,15,0.00020979999681003392
backtracking,10,55,0.0004420999903231859
forward_checking,10,15,0.0002057999954558909
backtracking,10,55,0.00043220000225119293
forward_checking,10,15,0.0002023999986704439
